repo_name,owner,url,stars,pull_counts,pull_comment_counts,pull_commit_counts,pull_commit_comment_counts,pull_commit_code_comment_counts
elasticsearch,elastic,https://api.github.com/repos/elastic/elasticsearch,48537,32663,0,0,0,104869
flink,apache,https://api.github.com/repos/apache/flink,12768,11697,0,0,0,69263
presto,prestodb,https://api.github.com/repos/prestodb/presto,10419,10289,0,0,0,64556
neo4j,neo4j,https://api.github.com/repos/neo4j/neo4j,7663,9707,0,0,0,18213
tutorials,eugenp,https://api.github.com/repos/eugenp/tutorials,20646,8880,0,0,0,2621
kafka,apache,https://api.github.com/repos/apache/kafka,15582,7959,0,0,0,67611
druid,apache,https://api.github.com/repos/apache/druid,9567,6315,0,0,0,38063
netty,netty,https://api.github.com/repos/netty/netty,23326,5151,0,0,0,29397
jenkins,jenkinsci,https://api.github.com/repos/jenkinsci/jenkins,15367,4645,0,0,0,14569
spring-boot,spring-projects,https://api.github.com/repos/spring-projects/spring-boot,47303,4174,0,0,0,2642
pinpoint,naver,https://api.github.com/repos/naver/pinpoint,10227,4050,0,0,0,226
deeplearning4j,eclipse,https://api.github.com/repos/eclipse/deeplearning4j,11592,3678,0,0,0,1563
cas,apereo,https://api.github.com/repos/apereo/cas,7492,3542,0,0,0,5454
RxJava,ReactiveX,https://api.github.com/repos/ReactiveX/RxJava,42532,3427,0,0,0,4706
bazel,bazelbuild,https://api.github.com/repos/bazelbuild/bazel,14578,3128,0,0,0,5493
okhttp,square,https://api.github.com/repos/square/okhttp,36846,2887,0,0,0,7502
libgdx,libgdx,https://api.github.com/repos/libgdx/libgdx,16833,2814,0,0,0,1380
realm-java,realm,https://api.github.com/repos/realm/realm-java,10900,2757,0,0,0,14292
shardingsphere,apache,https://api.github.com/repos/apache/shardingsphere,10892,2695,0,0,0,1919
spring-framework,spring-projects,https://api.github.com/repos/spring-projects/spring-framework,36649,2663,0,0,0,767
dubbo,apache,https://api.github.com/repos/apache/dubbo,32073,2601,0,0,0,2346
skywalking,apache,https://api.github.com/repos/apache/skywalking,13158,2477,0,0,0,4603
Signal-Android,signalapp,https://api.github.com/repos/signalapp/Signal-Android,12986,2032,0,0,0,2844
dropwizard,dropwizard,https://api.github.com/repos/dropwizard/dropwizard,7600,2012,0,0,0,1260
zipkin,openzipkin,https://api.github.com/repos/openzipkin/zipkin,12737,1914,0,0,0,3512
react-native-navigation,wix,https://api.github.com/repos/wix/react-native-navigation,11421,1847,0,0,0,714
selenium,SeleniumHQ,https://api.github.com/repos/SeleniumHQ/selenium,17531,1711,0,0,0,1851
hadoop,apache,https://api.github.com/repos/apache/hadoop,10368,1706,0,0,0,7978
