repo_name,owner,url,stars,pull_counts,
elasticsearch,elastic,https://api.github.com/repos/elastic/elasticsearch,48537,32663,
flink,apache,https://api.github.com/repos/apache/flink,12768,11697,
presto,prestodb,https://api.github.com/repos/prestodb/presto,10419,10289,
neo4j,neo4j,https://api.github.com/repos/neo4j/neo4j,7663,9707,
tutorials,eugenp,https://api.github.com/repos/eugenp/tutorials,20646,8880,
kafka,apache,https://api.github.com/repos/apache/kafka,15582,7959,
druid,apache,https://api.github.com/repos/apache/druid,9567,6315,
netty,netty,https://api.github.com/repos/netty/netty,23326,5151,
jenkins,jenkinsci,https://api.github.com/repos/jenkinsci/jenkins,15367,4645,
spring-boot,spring-projects,https://api.github.com/repos/spring-projects/spring-boot,47303,4174,
pinpoint,naver,https://api.github.com/repos/naver/pinpoint,10227,4050,
deeplearning4j,eclipse,https://api.github.com/repos/eclipse/deeplearning4j,11592,3678,
cas,apereo,https://api.github.com/repos/apereo/cas,7492,3542,
RxJava,ReactiveX,https://api.github.com/repos/ReactiveX/RxJava,42532,3427,
bazel,bazelbuild,https://api.github.com/repos/bazelbuild/bazel,14578,3128,
okhttp,square,https://api.github.com/repos/square/okhttp,36846,2887,
libgdx,libgdx,https://api.github.com/repos/libgdx/libgdx,16833,2814,
realm-java,realm,https://api.github.com/repos/realm/realm-java,10900,2757,
shardingsphere,apache,https://api.github.com/repos/apache/shardingsphere,10892,2695,
spring-framework,spring-projects,https://api.github.com/repos/spring-projects/spring-framework,36649,2663,
dubbo,apache,https://api.github.com/repos/apache/dubbo,32073,2601,
skywalking,apache,https://api.github.com/repos/apache/skywalking,13158,2477,
Signal-Android,signalapp,https://api.github.com/repos/signalapp/Signal-Android,12986,2032,
dropwizard,dropwizard,https://api.github.com/repos/dropwizard/dropwizard,7600,2012,142243
zipkin,openzipkin,https://api.github.com/repos/openzipkin/zipkin,12737,1914,
react-native-navigation,wix,https://api.github.com/repos/wix/react-native-navigation,11421,1847,
selenium,SeleniumHQ,https://api.github.com/repos/SeleniumHQ/selenium,17531,1711,
hadoop,apache,https://api.github.com/repos/apache/hadoop,10368,1706,
vert.x,eclipse-vertx,https://api.github.com/repos/eclipse-vertx/vert.x,10994,1534,
jib,GoogleContainerTools,https://api.github.com/repos/GoogleContainerTools/jib,8864,1415,
Arduino,arduino,https://api.github.com/repos/arduino/Arduino,10165,1305,
zookeeper,apache,https://api.github.com/repos/apache/zookeeper,7980,1235,
seata,seata,https://api.github.com/repos/seata/seata,15356,1205,
antlr4,antlr,https://api.github.com/repos/antlr/antlr4,7630,1203,
Mycat-Server,MyCATApache,https://api.github.com/repos/MyCATApache/Mycat-Server,7923,1136,
apollo,ctripcorp,https://api.github.com/repos/ctripcorp/apollo,20519,1057,159511
retrofit,square,https://api.github.com/repos/square/retrofit,35483,981,
rocketmq,apache,https://api.github.com/repos/apache/rocketmq,10807,978,
cat,dianping,https://api.github.com/repos/dianping/cat,13183,975,
druid,alibaba,https://api.github.com/repos/alibaba/druid,21033,968,
mockito,mockito,https://api.github.com/repos/mockito/mockito,10460,895,
mybatis-3,mybatis,https://api.github.com/repos/mybatis/mybatis-3,13345,886,
ExoPlayer,google,https://api.github.com/repos/google/ExoPlayer,15388,855,
react-native-camera,react-native-community,https://api.github.com/repos/react-native-community/react-native-camera,8334,853,
jedis,xetorthio,https://api.github.com/repos/xetorthio/jedis,9050,852,
junit4,junit-team,https://api.github.com/repos/junit-team/junit4,7839,848,
Java,TheAlgorithms,https://api.github.com/repos/TheAlgorithms/Java,23172,776,
dbeaver,dbeaver,https://api.github.com/repos/dbeaver/dbeaver,13194,751,
Hystrix,Netflix,https://api.github.com/repos/Netflix/Hystrix,19521,747,
eureka,Netflix,https://api.github.com/repos/Netflix/eureka,9236,746,
NewPipe,TeamNewPipe,https://api.github.com/repos/TeamNewPipe/NewPipe,8210,720,
java-design-patterns,iluwatar,https://api.github.com/repos/iluwatar/java-design-patterns,57331,674,
nacos,alibaba,https://api.github.com/repos/alibaba/nacos,11650,667,
picasso,square,https://api.github.com/repos/square/picasso,17425,641,
guava,google,https://api.github.com/repos/google/guava,36973,631,
androidannotations,androidannotations,https://api.github.com/repos/androidannotations/androidannotations,11010,629,
graal,oracle,https://api.github.com/repos/oracle/graal,12339,626,
PocketHub,pockethub,https://api.github.com/repos/pockethub/PocketHub,9477,622,
spring-cloud-alibaba,alibaba,https://api.github.com/repos/alibaba/spring-cloud-alibaba,13124,491,
