repo_name,owner,url,stars,pull_counts,pull_comment_counts,pull_commit_counts,pull_commit_comment_counts,pull_commit_code_comment_counts
elasticsearch,elastic,https://api.github.com/repos/elastic/elasticsearch,48537,32663,95571,150293,489,104869
flink,apache,https://api.github.com/repos/apache/flink,12768,11697,48927,49261,134,69263
presto,prestodb,https://api.github.com/repos/prestodb/presto,10419,10289,24847,27905,44,64556
neo4j,neo4j,https://api.github.com/repos/neo4j/neo4j,7663,9707,9938,36382,93,18213
tutorials,eugenp,https://api.github.com/repos/eugenp/tutorials,20646,8880,1081,59038,23,2621
kafka,apache,https://api.github.com/repos/apache/kafka,15582,7959,54118,48789,239,67611
druid,apache,https://api.github.com/repos/apache/druid,9567,6315,18878,23146,229,38063
netty,netty,https://api.github.com/repos/netty/netty,23326,5151,28632,32256,2862,29397
jenkins,jenkinsci,https://api.github.com/repos/jenkinsci/jenkins,15367,4645,23684,17852,429,14569
spring-boot,spring-projects,https://api.github.com/repos/spring-projects/spring-boot,47303,4174,11097,16814,294,2642
pinpoint,naver,https://api.github.com/repos/naver/pinpoint,10227,4050,2684,8195,6,226
deeplearning4j,eclipse,https://api.github.com/repos/eclipse/deeplearning4j,11592,3678,4392,24913,44,1563
cas,apereo,https://api.github.com/repos/apereo/cas,7492,3542,9965,30836,179,5454
RxJava,ReactiveX,https://api.github.com/repos/ReactiveX/RxJava,42532,3427,10711,8345,83,4706
bazel,bazelbuild,https://api.github.com/repos/bazelbuild/bazel,14578,3128,8482,9485,25,5493
okhttp,square,https://api.github.com/repos/square/okhttp,36846,2887,5330,4908,102,7502
libgdx,libgdx,https://api.github.com/repos/libgdx/libgdx,16833,2814,7959,8002,203,1380
realm-java,realm,https://api.github.com/repos/realm/realm-java,10900,2757,7108,19224,189,14292
shardingsphere,apache,https://api.github.com/repos/apache/shardingsphere,10892,2695,3278,28550,12,1919
spring-framework,spring-projects,https://api.github.com/repos/spring-projects/spring-framework,36649,2663,5191,32459,298,767
dubbo,apache,https://api.github.com/repos/apache/dubbo,32073,2601,4820,18753,122,2346
skywalking,apache,https://api.github.com/repos/apache/skywalking,13158,2477,7798,14019,8,4603
Signal-Android,signalapp,https://api.github.com/repos/signalapp/Signal-Android,12986,2032,6357,6261,350,2844
dropwizard,dropwizard,https://api.github.com/repos/dropwizard/dropwizard,7600,2012,4600,4880,23,1260
